date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:18:02	53806/53806	---M--	200	added ('OK')	image/jpeg	etag:%22921d194b4905de4439a53ccd3cda70e1%22	https://www.brysonstavern.com/uploads/1/3/5/1/135181344/9_orig.jpg	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/uploads/1/3/5/1/135181344/9_orig.jpg	(from https://www.brysonstavern.com/photos.html)
14:18:02	60137/60137	---M--	200	added ('OK')	image/jpeg	etag:%22323e5abaf6dcfae17785d99f1d561fbc%22	https://www.brysonstavern.com/uploads/1/3/5/1/135181344/10-1_orig.jpg	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/uploads/1/3/5/1/135181344/10-1_orig.jpg	(from https://www.brysonstavern.com/photos.html)
14:18:02	20605/20605	---M--	200	added ('OK')	image/jpeg	etag:%229ba90e05bb2daed458de32b3d8e40011%22	https://www.brysonstavern.com/uploads/1/3/5/1/135181344/11_orig.jpg	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/uploads/1/3/5/1/135181344/11_orig.jpg	(from https://www.brysonstavern.com/photos.html)
14:18:03	20605/20605	---M--	200	added ('OK')	image/jpeg	etag:%229ba90e05bb2daed458de32b3d8e40011%22	https://www.brysonstavern.com/uploads/1/3/5/1/135181344/11.jpg	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/uploads/1/3/5/1/135181344/11.jpg	(from https://www.brysonstavern.com/photos.html)
14:18:03	34164/34164	---M--	200	added ('OK')	image/jpeg	etag:%226022835b4d426a39694b30093bbcba08%22	https://www.brysonstavern.com/uploads/1/3/5/1/135181344/12-1_orig.jpg	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/uploads/1/3/5/1/135181344/12-1_orig.jpg	(from https://www.brysonstavern.com/photos.html)
14:18:03	34164/34164	---M--	200	added ('OK')	image/jpeg	etag:%226022835b4d426a39694b30093bbcba08%22	https://www.brysonstavern.com/uploads/1/3/5/1/135181344/12-1.jpg	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/uploads/1/3/5/1/135181344/12-1.jpg	(from https://www.brysonstavern.com/photos.html)
14:18:04	110834/110834	---M--	200	added ('OK')	image/jpeg	etag:%2266ef20805d8b8c6f0d11b8c4fd21846c%22	https://www.brysonstavern.com/uploads/1/3/5/1/135181344/13-1_orig.jpg	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/uploads/1/3/5/1/135181344/13-1_orig.jpg	(from https://www.brysonstavern.com/photos.html)
14:18:04	54037/54037	---M--	200	added ('OK')	image/jpeg	etag:%226e564856b06e0945f5de69796e04a2a1%22	https://www.brysonstavern.com/uploads/1/3/5/1/135181344/14-1_orig.jpg	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/uploads/1/3/5/1/135181344/14-1_orig.jpg	(from https://www.brysonstavern.com/photos.html)
14:18:04	110834/110834	---M--	200	added ('OK')	image/jpeg	etag:%2266ef20805d8b8c6f0d11b8c4fd21846c%22	https://www.brysonstavern.com/uploads/1/3/5/1/135181344/13-1.jpg	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/uploads/1/3/5/1/135181344/13-1.jpg	(from https://www.brysonstavern.com/photos.html)
14:18:05	146/146	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Apr%202023%2019:18:04%20GMT	http://cdn2.editmysite.com/robots.txt		(from http://cdn2.editmysite.com/fonts/Karla/font.css?2)
14:18:05	54037/54037	---M--	200	added ('OK')	image/jpeg	etag:%226e564856b06e0945f5de69796e04a2a1%22	https://www.brysonstavern.com/uploads/1/3/5/1/135181344/14-1.jpg	C:/Site_Copies/www.brysonstavern.com/www.brysonstavern.com/uploads/1/3/5/1/135181344/14-1.jpg	(from https://www.brysonstavern.com/photos.html)
